original name,country,woeid
Comoros,Comoros,23424786
Chile,Chile,23424782
Colombia,Colombia,23424787
Chad,Chad,23424777
China,China,23424781
Cameroon,Cameroon,23424785
Central African Republic,Central African Republic,23424792
Canada,Canada,23424775
Cambodia,Cambodia,23424776
Cabo Verde,Cape Verde,23424794
Burundi,Burundi,23424774
Burkina Faso,Burkina Faso,23424978
Bulgaria,Bulgaria,23424771
Brunei Darussalam,Brunei,23424773
Brazil,Brazil,23424768
Botswana,Botswana,23424755
Zimbabwe,Zimbabwe,23425004
Zambia,Zambia,23425003
Yemen,Yemen,23425002
Vietnam,Vietnam,23424984
Venezuela,Venezuela,23424982
Vanuatu,Vanuatu,23424907
Uzbekistan,Uzbekistan,23424980
United States of America,United States,23424977
Uruguay,Uruguay,23424979
United Republic of Tanzania,Tanzania,23424973
United Kingdom of Great Britain and Northern Ireland,United Kingdom,20070563
United Arab Emirates,United Arab Emirates,23424738
Ukraine,Ukraine,23424976
Uganda,Uganda,23424974
Tuvalu,Tuvalu,23424970
Turkmenistan,Turkmenistan,23424972
Turkey,Turkey,23424969
Tunisia,Tunisia,23424967
Trinidad and Tobago,Trinidad and Tobago,23424958
Tonga,Tonga,23424964
Togo,Togo,23424965
Timor-Leste,East Timor,23424968
Thailand,Thailand,23424960
Tajikistan,Tajikistan,23424961
Syrian Arab Republic,Syria,23424956
Switzerland,Switzerland,23424957
Sweden,Sweden,23424954
Swaziland,Swaziland,23424993
Sudan,Sudan,23424952
Suriname,Suriname,23424913
Sri Lanka,Sri Lanka,23424778
Spain,Spain,23424950
South Sudan,South Sudan,56558055
South Africa,South Africa,23424942
Slovenia,Slovenia,23424945
Solomon Islands,Solomon Islands,23424766
Somalia,Somalia,23424949
Slovakia,Slovakia,23424877
Singapore,Singapore,23424948
Seychelles,Seychelles,23424941
Sierra Leone,Sierra Leone,23424946
Serbia,Serbia,20069818
Senegal,Senegal,23424943
Saudi Arabia,Saudi Arabia,23424938
Sao Tome and Principe,Sao Tome and Principe,23424966
Samoa,Samoa,23424992
San Marino,San Marino,23424947
Saint Vincent and the Grenadines,Saint Vincent and the Grenadines,23424981
Saint Lucia,St. Lucia,23424951
Saint Kitts and Nevis,Saint Kitts and Nevis,23424940
Rwanda,Rwanda,23424937
Romania,Romania,23424933
Russian Federation,Russia,23424936
Republic of Moldova,Moldova,23424885
Republic of Korea South Korea,South Korea,23424868
Qatar,Qatar,23424930
Poland,Poland,23424923
Portugal,Portugal,23424925
Philippines,Philippines,23424934
Peru,Peru,23424919
Paraguay,Paraguay,23424917
Papua New Guinea,Papua New Guinea,23424926
Palau,Palau,23424927
Panama,Panama,23424924
Oman,Oman,23424898
Pakistan,Pakistan,23424922
Norway,Norway,23424910
Nigeria,Nigeria,23424908
Niger,Niger,23424906
Nicaragua,Nicaragua,23424915
New Zealand,New Zealand,23424916
Netherlands,Netherlands,23424909
Nepal,Nepal,23424911
Nauru,Nauru,23424912
Namibia,Namibia,23424987
Myanmar,Myanmar,23424763
Morocco,Morocco,23424893
Mozambique,Mozambique,23424902
Montenegro,Montenegro,20069817
Mongolia,Mongolia,23424887
Monaco,Monaco,23424892
Mexico,Mexico,23424900
Micronesia Federated States of,Federated States of Micronesia,23424815
Mauritania,Mauritania,23424896
Mauritius,Mauritius,23424894
Marshall Islands,Marshall Islands,23424932
Malta,Malta,23424897
Mali,Mali,23424891
Maldives,Maldives,23424899
Malawi,Malawi,23424889
Malaysia,Malaysia,23424901
Madagascar,Madagascar,23424883
Luxembourg,Luxembourg,23424881
Macedonia,Macedonia,23424890
Lithuania,Lithuania,23424875
Liechtenstein,Liechtenstein,23424879
Libya,Libya,23424882
Liberia,Liberia,23424876
Lesotho,Lesotho,23424880
Latvia,Latvia,23424874
Lebanon,Lebanon,23424873
Lao Peoples Democratic Republic Laos,Laos,23424872
Kuwait,Kuwait,23424870
Kiribati,Kiribati,23424867
Kenya,Kenya,23424863
Kazakhstan,Kazakhstan,23424871
Kyrgyzstan,Kyrgyzstan,23424864
Jordan,Jordan,23424860
Japan,Japan,23424856
Israel,Israel,23424852
Jamaica,Jamaica,23424858
Italy,Italy,23424853
Iraq,Iraq,23424855
Ireland,Ireland,23424803
Iran,Iran,23424851
India,India,23424848
Indonesia,Indonesia,23424846
Guyana,Guyana,23424836
Iceland,Iceland,23424845
Honduras,Honduras,23424841
Hungary,Hungary,23424844
Haiti,Haiti,23424839
Greece,Greece,23424833
Guinea,Guinea,23424835
Guinea-Bissau,Guinea-Bissau,23424929
Grenada,Grenada,23424826
Guatemala,Guatemala,23424834
Ghana,Ghana,23424824
Germany,Germany,23424829
Georgia,United States,2347569
Fiji,Fiji,23424813
Gabon,Gabon,23424822
Gambia,The Gambia,23424821
Finland,Finland,23424812
France,France,23424819
